priority_class	priority_score	ingredient_id	ingredient_name	pubchem_id	inchikey	match_status	match_method	lincs_source	pert_id	pert_iname	pert_type	gse92742_signature_count	gse92742_cell_count	gse92742_cells
secondary_literature_supported	10.0	HBIN046423	Tiliroside	5320686	DVGGLGXQSFURLP-VWMSDXGPSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN047173	Triptolide	107985	DFBIRQPKNDILPW-CIVMWXNOSA-N	covered	inchikey_exact	GSE92742	BRD-K39484304	triptolide	trt_cp	0	0	
secondary_literature_supported	10.0	HBIN047613	Ursolic acid	64945	WCGUUGGRBIKTOS-GPOJBZKASA-N	covered	inchikey_exact	GSE92742	BRD-K68185022	ursolic-acid	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN007410	3,4-dihydroxyphenethyl alcohol	82755	JUUBCHWRXWPFFH-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K04809113	hydroxytyrosol	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN015866	Ammidin	10212	OLOOJGVNMBJLLR-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K07117950	imperatorin	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN016600	Arbutin	440936	BJRNKVDFDLYUGJ-RMPHRYRLSA-N	covered	inchikey_exact	GSE92742	BRD-K08037784	arbutin	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN016600	Arbutin	440936	BJRNKVDFDLYUGJ-RMPHRYRLSA-N	covered	inchikey_exact	GSE70138	BRD-K08037784	arbutin	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN018208	Betanin	6540685	CTMLKIKAUFEMLE-FTNGGYTGSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN019458	Cambogin	11135781	KXTNVBQRLRYVCO-LPSZMIQCSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN019759	Carnosol	442009	XUSYGBPHQBWGAD-PJSUUKDQSA-N	covered	inchikey_exact	GSE92742	BRD-K67265981	carnosol	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN019909	Catalpol	91520	LHDWRKICQLTVDL-PZYDOOQISA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN021561	Corylin	5316097	PWAACAMQKVIVPZ-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN024184	Diosmetin	5281612	MBNGWHIJMBWFHU-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN026264	Evodiamine	442088	TXDUTHBFYKGSAH-SFHVURJKSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN028034	Glucoraphanin	9548634	GMMLNKINDDUDCF-RFOBZYEESA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN030108	Indirubin	10177	JNLNPCNGMHKCKO-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN033198	Ligustilide	5319022	IQVQXVFMNOFTMU-FLIBITNWSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN034421	Mannose	18950	WQZGKKKJIJFFOK-QTVWNMPRSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN038387	Osthol	10228	MBRLOUHOWLUMFF-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K78294846	osthol	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN038488	Oxymatrine	114850	XVPBINOPNYFXID-LHDUFFHYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN040271	Plumericin	5281545	VFXXNAVZODKBIW-JKXVGBJFSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	9.0	HBIN040827	Propanoic acid	1032	XBDQKXXYIPTUBI-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN042657	Rutaecarpine	65752	ACVGWSKVRYFWRP-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN042670	Rutin	5280805	IKGXIBQEEMLURG-NVPNHPEKSA-N	covered	inchikey_exact	GSE92742	BRD-K20482099	rutin	trt_cp	0	0	
secondary_literature_supported	9.0	HBIN043028	Sanguinarine	5154	INVGWHRKADIJHF-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN043798	Sesamin	72307	PEYUIKBAABKQKQ-AFHBHXEDSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
deprioritize_low_tcm_specificity_or_conventional	9.0	HBIN048048	Vitamin d	12895043	FCKJYANJHNLEEP-OIMXRAFZSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	9.0	HBIN048412	Wuweizisu c	443027	HTBWBWWADZJXID-TXEJJXNPSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	8.0	HBIN020281	Chenodeoxycholic acid	10133	RUDATBOHQWOJDD-BSWAIDMHSA-N	covered	inchikey_exact	GSE92742	BRD-K18135438	chenodeoxycholic-acid	trt_cp	0	0	
background_or_control	8.0	HBIN030233	Inulin	44630352	GJJZLLGOZQMFSQ-ZDNJPGIUSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	7.0	HBIN028191	Glycyrrhizin	14982	LPLVUJXQOOQHMX-QWBHMCJMSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	7.0	HBIN043546	Se	6326970	BUGBHKTXTAQXES-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	7.0	HBIN047610	Ursodeoxycholic acid	31401	RUDATBOHQWOJDD-UZVSRGJWSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN003500	20-(s)-ginsenoside-rg3	9918693	RWXIFXNRCLMQCD-JBVRGBGGSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN014230	Abk	5280896	JLIDBLDQVAYHNE-YKALOCIXSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN015074	Albiflorin	24868421	QQUHMASGPODSIW-ICECTASOSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN015902	Ampeloptin	161557	KJXSIXMJHKAJOD-LSDHHAIUSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN016019	Andrographolide	5318517	BOJKULTULYSRAS-OTESTREVSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	6.0	HBIN016275	Anthocyanin	145858	NWKFECICNXDNOQ-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN016609	Arctigenin	64981	NQWVSMVXKMHKTF-JKSUJKDBSA-N	covered	inchikey_exact	GSE92742	BRD-K53523901	arctigenin	trt_cp	0	0	
secondary_literature_supported	6.0	HBIN017927	Berlambine	11066	ZHYQCBCBTQWPLC-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	6.0	HBIN018507	Bile acid	439520	BHQCQFFYRZLCQQ-UMZBRFQRSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN018620	Bisdemethoxycurcumin	5315472	PREBVFJICNPEKM-YDWXAUTNSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN019550	Cannabichromene	30219	UVOLYTDXHDXWJU-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN021403	Convallatoxin	441852	HULMNSIAKWANQO-JQKSAQOKSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN023356	Deoxycholic acid	222528	KXGVEGMKQFWNSR-LLQZFEROSA-N	covered	inchikey_exact	GSE92742	BRD-K41170226	deoxycholic-acid	trt_cp	0	0	
secondary_literature_supported	6.0	HBIN023356	Deoxycholic acid	222528	KXGVEGMKQFWNSR-LLQZFEROSA-N	covered	inchikey_exact	GSE70138	BRD-K41170226	deoxycholic-acid	trt_cp	0	0	
secondary_literature_supported	6.0	HBIN025026	Embelin	3218	IRSFLDGTOHBADP-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN025796	Esculetin	5281416	ILEDWLMCKZNDJK-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN027003	Galangin	5281616	VCCRNZQBSJXYJD-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	6.0	HBIN027456	Genistein	5280961	TZBJGXHYKVUXJN-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K43797669	genistein	trt_cp	0	0	
background_or_control	6.0	HBIN027456	Genistein	5280961	TZBJGXHYKVUXJN-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K43797669	genistein	trt_cp	0	0	
secondary_literature_supported	6.0	HBIN027739	Ginsenoside rd	11679800	RLDVZILFNVRJTL-IWFVLDDISA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN029922	Icariin	5318997	TZJALUIVHRYQQB-XLRXWWTNSA-N	covered	inchikey_exact	GSE92742	BRD-K65639003	icariin	trt_cp	0	0	
secondary_literature_supported	6.0	HBIN030757	Isogambogenicacid	101389903	RCWNBHCZYXWDOV-SDNKGDDVSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
deprioritize_low_tcm_specificity_or_conventional	6.0	HBIN032689	L-ascorbic acid	54670067	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN034656	Melanin	6325610	XUMBMVFBXHLACL-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN037940	Oleanolic acid	10494	MIJYXULNPSFWEK-GTOFXWBISA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN040152	Pit	124333	MMPTYEXNPWSTOR-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN041663	Quercetin,3-o-rutinoside	5280805	IKGXIBQEEMLURG-NVPNHPEKSA-N	covered	inchikey_exact	GSE92742	BRD-K20482099	rutin	trt_cp	0	0	
secondary_literature_supported	6.0	HBIN043437	Scoparone	8417	GUAFOGOEJLSQBT-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN044111	Sinomenine	5459308	INYYVPJSBIVGPH-QHRIQVFBSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	6.0	HBIN047656	Uvaol	92802	XUARCIYIVXVTAE-ZAPOICBTSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	6.0	HBIN047879	Vetol	8369	XPCTZQVDEJYUGT-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K40619305	larixinic-acid	trt_cp	0	0	
deprioritize_low_tcm_specificity_or_conventional	4.0	HBIN019351	Calcium	5460341	OYPRJOBELJOOCE-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	4.0	HBIN029056	Heparin	25244225	OHJKXVLJWUPWQG-IUYNYSEKSA-J	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	4.0	HBIN032674	L(+ )-arginine	6322	ODKSFYDXXFIFQN-BYPYZUCNSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
