display_group	accession	gene_symbol	log2fc	fdr	p_value	t_stat	neglog10_fdr	plot_class
GSE87466 validation	GSE87466	LOC101927027	0.268955	0.00140208	0.000242977	4.05919	2.853227205650863	not_significant
GSE87466 validation	GSE87466	ACAD10	-0.423233	0.00140302	0.000243192	-4.22629	2.852936138075183	not_significant
GSE87466 validation	GSE87466	KLRC2	-0.741164	0.00140393	0.000243375	-4.19523	2.852654545604795	not_significant
GSE87466 validation	GSE87466	LOC152048	-0.261727	0.00140716	0.000244012	-4.23145	2.851656518651632	not_significant
GSE87466 validation	GSE87466	LOC101928820	-1.29246	0.00141137	0.000244815	-4.12227	2.850359118142445	down
GSE87466 validation	GSE87466	TACR2	-0.332195	0.00141278	0.000245167	-4.20012	2.8499254618066527	not_significant
GSE87466 validation	GSE87466	LOC105377832	-0.205349	0.0014149	0.000245587	-4.15101	2.8492742534138054	not_significant
GSE87466 validation	GSE87466	PFKL	-0.482958	0.00141514	0.000245655	-4.20626	2.8492005931998814	not_significant
GSE87466 validation	GSE87466	RCL1	0.260299	0.00141882	0.000246345	4.07006	2.848072698246036	not_significant
GSE87466 validation	GSE87466	ATP1A4	-0.214014	0.00142007	0.000246589	-4.11703	2.847690247261699	not_significant
GSE87466 validation	GSE87466	EPB42	-0.272444	0.00142298	0.000247145	-4.23389	2.846801203886677	not_significant
GSE87466 validation	GSE87466	PLCB2	0.347116	0.00142394	0.000247365	4.04391	2.8465083100094835	not_significant
GSE87466 validation	GSE87466	TXNL4A	-0.321386	0.00142646	0.000247881	-4.23628	2.8457404020810997	not_significant
GSE87466 validation	GSE87466	PSTK	-0.333083	0.00142695	0.000247992	-4.26763	2.8455912441975677	not_significant
GSE87466 validation	GSE87466	CACNA1F	-0.26482	0.00142849	0.000248285	-4.19751	2.8451227955052634	not_significant
GSE87466 validation	GSE87466	C10orf82	-0.473109	0.00142998	0.00024857	-4.28606	2.8446700366261126	not_significant
GSE87466 validation	GSE87466	CPD	0.452921	0.00143047	0.000248682	4.08148	2.8445212458426945	not_significant
GSE87466 validation	GSE87466	HHAT	-0.459105	0.00143159	0.000248902	-4.19523	2.844181343922706	not_significant
GSE87466 validation	GSE87466	SYPL2	0.265294	0.00143732	0.000249974	3.92756	2.8424465312654354	not_significant
GSE87466 validation	GSE87466	USP6	-0.29428	0.00143743	0.00025005	-4.13021	2.8424132954062946	not_significant
GSE87466 validation	GSE87466	FAM71F2	0.217119	0.00143743	0.000250037	4.03463	2.8424132954062946	not_significant
GSE87466 validation	GSE87466	SLC25A21-AS1	-0.355983	0.00144322	0.000251187	-4.22866	2.840667461350461	not_significant
GSE87466 validation	GSE87466	SCLY	0.296898	0.00144322	0.000251113	4.08192	2.840667461350461	not_significant
GSE87466 validation	GSE87466	MPEG1	0.552598	0.00144363	0.000251312	4.23777	2.8405441014676978	not_significant
GSE87466 validation	GSE87466	TMEM260	-0.332689	0.00144407	0.000251416	-4.23552	2.84041175422005	not_significant
GSE87466 validation	GSE87466	KCNMA1	-0.362705	0.00144421	0.000251467	-4.15197	2.8403696521887274	not_significant
GSE87466 validation	GSE87466	ZNF529	0.356437	0.00144947	0.000252489	4.06	2.838790768904559	not_significant
GSE87466 validation	GSE87466	DST	-0.323733	0.00144947	0.000252489	-4.28923	2.838790768904559	not_significant
GSE87466 validation	GSE87466	CMTM6	0.129923	0.00144947	0.000252481	3.89131	2.838790768904559	not_significant
GSE87466 validation	GSE87466	RASA4B	0.638438	0.0014511	0.000252878	4.17327	2.8383026578918824	not_significant
GSE87466 validation	GSE87466	EML5	-0.486888	0.0014511	0.000252868	-4.16422	2.8383026578918824	not_significant
GSE87466 validation	GSE87466	HLA-DRB5	1.09555	0.00145164	0.000252999	3.9018	2.838141073304263	up
GSE87466 validation	GSE87466	INIP	-0.541389	0.00145373	0.000253424	-4.22706	2.837516247121199	not_significant
