accession	gsm	group	celltype	fraction_proxy	nnls_residual	n_common_marker_genes
GSE87466	GSM2332159	case	M/DC	0.304954	1.12825	43
GSE87466	GSM2332160	case	T	0.300583	1.01381	43
GSE87466	GSM2332160	case	B	0.2684	1.01381	43
GSE87466	GSM2332160	case	NK	0.127378	1.01381	43
GSE87466	GSM2332160	case	M/DC	0.303638	1.01381	43
GSE87466	GSM2332161	case	T	0.294001	1.25701	43
GSE87466	GSM2332161	case	B	0.291268	1.25701	43
GSE87466	GSM2332161	case	NK	0.114827	1.25701	43
GSE87466	GSM2332161	case	M/DC	0.299903	1.25701	43
GSE87466	GSM2332162	case	T	0.281068	1.12744	43
GSE87466	GSM2332162	case	B	0.21898	1.12744	43
GSE87466	GSM2332162	case	NK	0.108562	1.12744	43
GSE87466	GSM2332162	case	M/DC	0.39139	1.12744	43
GSE87466	GSM2332163	case	T	0.33553	0.893593	43
GSE87466	GSM2332163	case	B	0.352409	0.893593	43
GSE87466	GSM2332163	case	NK	0.0575886	0.893593	43
GSE87466	GSM2332163	case	M/DC	0.254473	0.893593	43
GSE87466	GSM2332164	case	T	0.277693	1.32983	43
GSE87466	GSM2332164	case	B	0.263122	1.32983	43
GSE87466	GSM2332164	case	NK	0.162455	1.32983	43
GSE87466	GSM2332164	case	M/DC	0.29673	1.32983	43
GSE87466	GSM2332165	case	T	0.293211	1.09522	43
GSE87466	GSM2332165	case	B	0.350597	1.09522	43
GSE87466	GSM2332165	case	NK	0.0774689	1.09522	43
GSE87466	GSM2332165	case	M/DC	0.278723	1.09522	43
GSE87466	GSM2332166	case	T	0.313213	1.15114	43
GSE87466	GSM2332166	case	B	0.215214	1.15114	43
GSE87466	GSM2332166	case	NK	0.114884	1.15114	43
GSE87466	GSM2332166	case	M/DC	0.356689	1.15114	43
GSE87466	GSM2332167	case	T	0.230578	0.947063	43
GSE87466	GSM2332167	case	B	0.390309	0.947063	43
GSE87466	GSM2332167	case	NK	0.105775	0.947063	43
GSE87466	GSM2332167	case	M/DC	0.273338	0.947063	43
GSE87466	GSM2332168	case	T	0.267296	1.15807	43
GSE87466	GSM2332168	case	B	0.250743	1.15807	43
GSE87466	GSM2332168	case	NK	0.112341	1.15807	43
GSE87466	GSM2332168	case	M/DC	0.369619	1.15807	43
GSE87466	GSM2332169	case	T	0.215391	1.26261	43
GSE87466	GSM2332169	case	B	0.11598	1.26261	43
GSE87466	GSM2332169	case	NK	0.259041	1.26261	43
GSE87466	GSM2332169	case	M/DC	0.409588	1.26261	43
GSE87466	GSM2332170	case	T	0.320712	1.16868	43
GSE87466	GSM2332170	case	B	0.321411	1.16868	43
GSE87466	GSM2332170	case	NK	0.0622469	1.16868	43
GSE87466	GSM2332170	case	M/DC	0.29563	1.16868	43
GSE87466	GSM2332171	case	T	0.195992	1.36518	43
GSE87466	GSM2332171	case	B	0.272744	1.36518	43
GSE87466	GSM2332171	case	NK	0.119705	1.36518	43
GSE87466	GSM2332171	case	M/DC	0.411559	1.36518	43
GSE87466	GSM2332172	case	T	0.186931	0.949364	43
GSE87466	GSM2332172	case	B	0.252382	0.949364	43
GSE87466	GSM2332172	case	NK	0.209202	0.949364	43
GSE87466	GSM2332172	case	M/DC	0.351484	0.949364	43
GSE87466	GSM2332173	case	T	0.200045	0.828968	43
GSE87466	GSM2332173	case	B	0.257195	0.828968	43
GSE87466	GSM2332173	case	NK	0.164344	0.828968	43
GSE87466	GSM2332173	case	M/DC	0.378417	0.828968	43
GSE87466	GSM2332174	case	T	0.252178	1.20061	43
GSE87466	GSM2332174	case	B	0.321502	1.20061	43
GSE87466	GSM2332174	case	NK	0.121036	1.20061	43
GSE87466	GSM2332174	case	M/DC	0.305285	1.20061	43
GSE87466	GSM2332175	case	T	0.23093	0.896585	43
GSE87466	GSM2332175	case	B	0.282364	0.896585	43
GSE87466	GSM2332175	case	NK	0.144278	0.896585	43
GSE87466	GSM2332175	case	M/DC	0.342428	0.896585	43
GSE87466	GSM2332176	case	T	0.317679	0.969964	43
GSE87466	GSM2332176	case	B	0.258386	0.969964	43
GSE87466	GSM2332176	case	NK	0.170012	0.969964	43
GSE87466	GSM2332176	case	M/DC	0.253922	0.969964	43
GSE87466	GSM2332177	case	T	0.262325	1.00613	43
GSE87466	GSM2332177	case	B	0.236432	1.00613	43
GSE87466	GSM2332177	case	NK	0.205764	1.00613	43
GSE87466	GSM2332177	case	M/DC	0.295479	1.00613	43
GSE87466	GSM2332178	case	T	0.237749	1.03525	43
GSE87466	GSM2332178	case	B	0.280733	1.03525	43
GSE87466	GSM2332178	case	NK	0.169845	1.03525	43
GSE87466	GSM2332178	case	M/DC	0.311672	1.03525	43
GSE87466	GSM2332179	case	T	0.243424	1.23517	43
GSE87466	GSM2332179	case	B	0.313858	1.23517	43
GSE87466	GSM2332179	case	NK	0.150544	1.23517	43
GSE87466	GSM2332179	case	M/DC	0.292174	1.23517	43
GSE87466	GSM2332180	case	T	0.280067	1.26646	43
GSE87466	GSM2332180	case	B	0.172307	1.26646	43
GSE87466	GSM2332180	case	NK	0.243672	1.26646	43
GSE87466	GSM2332180	case	M/DC	0.303954	1.26646	43
GSE87466	GSM2332181	case	T	0.305177	0.973285	43
GSE87466	GSM2332181	case	B	0.368089	0.973285	43
GSE87466	GSM2332181	case	NK	0.123901	0.973285	43
GSE87466	GSM2332181	case	M/DC	0.202833	0.973285	43
GSE87466	GSM2332182	case	T	0.215793	1.14134	43
GSE87466	GSM2332182	case	B	0.347774	1.14134	43
GSE87466	GSM2332182	case	NK	0.149974	1.14134	43
GSE87466	GSM2332182	case	M/DC	0.286458	1.14134	43
GSE87466	GSM2332183	case	T	0.215171	1.14226	43
GSE87466	GSM2332183	case	B	0.296554	1.14226	43
GSE87466	GSM2332183	case	NK	0.179844	1.14226	43
GSE87466	GSM2332183	case	M/DC	0.30843	1.14226	43
GSE87466	GSM2332184	case	T	0.221293	1.02815	43
GSE87466	GSM2332184	case	B	0.371573	1.02815	43
GSE87466	GSM2332184	case	NK	0.161128	1.02815	43
GSE87466	GSM2332184	case	M/DC	0.246006	1.02815	43
GSE87466	GSM2332185	case	T	0.234867	1.25065	43
GSE87466	GSM2332185	case	B	0.258283	1.25065	43
GSE87466	GSM2332185	case	NK	0.184141	1.25065	43
GSE87466	GSM2332185	case	M/DC	0.322709	1.25065	43
GSE87466	GSM2332186	case	T	0.131721	1.23016	43
GSE87466	GSM2332186	case	B	0.261626	1.23016	43
GSE87466	GSM2332186	case	NK	0.222119	1.23016	43
GSE87466	GSM2332186	case	M/DC	0.384533	1.23016	43
GSE87466	GSM2332187	case	T	0.237858	1.12053	43
GSE87466	GSM2332187	case	B	0.362433	1.12053	43
GSE87466	GSM2332187	case	NK	0.163815	1.12053	43
GSE87466	GSM2332187	case	M/DC	0.235893	1.12053	43
GSE87466	GSM2332188	case	T	0.220783	1.05001	43
GSE87466	GSM2332188	case	B	0.283793	1.05001	43
GSE87466	GSM2332188	case	NK	0.161491	1.05001	43
GSE87466	GSM2332188	case	M/DC	0.333933	1.05001	43
GSE87466	GSM2332189	case	T	0.209924	1.34622	43
GSE87466	GSM2332189	case	B	0.1711	1.34622	43
GSE87466	GSM2332189	case	NK	0.264501	1.34622	43
GSE87466	GSM2332189	case	M/DC	0.354475	1.34622	43
GSE87466	GSM2332190	case	T	0.169734	1.13012	43
GSE87466	GSM2332190	case	B	0.249821	1.13012	43
GSE87466	GSM2332190	case	NK	0.301831	1.13012	43
GSE87466	GSM2332190	case	M/DC	0.278614	1.13012	43
GSE87466	GSM2332191	case	T	0.305345	1.05037	43
GSE87466	GSM2332191	case	B	0.340351	1.05037	43
GSE87466	GSM2332191	case	NK	0.13184	1.05037	43
GSE87466	GSM2332191	case	M/DC	0.222464	1.05037	43
GSE87466	GSM2332192	case	T	0.28582	1.01248	43
GSE87466	GSM2332192	case	B	0.145607	1.01248	43
GSE87466	GSM2332192	case	NK	0.206483	1.01248	43
GSE87466	GSM2332192	case	M/DC	0.362091	1.01248	43
GSE87466	GSM2332193	case	T	0.308916	1.02393	43
GSE87466	GSM2332193	case	B	0.3017	1.02393	43
GSE87466	GSM2332193	case	NK	0.0743915	1.02393	43
GSE87466	GSM2332193	case	M/DC	0.314993	1.02393	43
GSE87466	GSM2332194	case	T	0.115784	1.0959	43
GSE87466	GSM2332194	case	B	0.232407	1.0959	43
GSE87466	GSM2332194	case	NK	0.137009	1.0959	43
GSE87466	GSM2332194	case	M/DC	0.5148	1.0959	43
GSE87466	GSM2332195	case	T	0.294855	1.4059	43
GSE87466	GSM2332195	case	B	0.287746	1.4059	43
GSE87466	GSM2332195	case	NK	0.130459	1.4059	43
GSE87466	GSM2332195	case	M/DC	0.286939	1.4059	43
GSE87466	GSM2332196	case	T	0.227714	1.55941	43
GSE87466	GSM2332196	case	B	0.20864	1.55941	43
GSE87466	GSM2332196	case	NK	0.248885	1.55941	43
GSE87466	GSM2332196	case	M/DC	0.314761	1.55941	43
GSE87466	GSM2332197	case	T	0.239839	1.01233	43
GSE87466	GSM2332197	case	B	0.248604	1.01233	43
GSE87466	GSM2332197	case	NK	0.135898	1.01233	43
GSE87466	GSM2332197	case	M/DC	0.375659	1.01233	43
GSE87466	GSM2332198	case	T	0.273095	1.15751	43
GSE87466	GSM2332198	case	B	0.344245	1.15751	43
GSE87466	GSM2332198	case	NK	0.116123	1.15751	43
GSE87466	GSM2332198	case	M/DC	0.266537	1.15751	43
GSE87466	GSM2332199	case	T	0.254292	1.18112	43
GSE87466	GSM2332199	case	B	0.245904	1.18112	43
GSE87466	GSM2332199	case	NK	0.204353	1.18112	43
GSE87466	GSM2332199	case	M/DC	0.295451	1.18112	43
GSE87466	GSM2332200	case	T	0.193595	1.04096	43
GSE87466	GSM2332200	case	B	0.308737	1.04096	43
GSE87466	GSM2332200	case	NK	0.200557	1.04096	43
GSE87466	GSM2332200	case	M/DC	0.297112	1.04096	43
GSE87466	GSM2332201	case	T	0.180815	1.16823	43
GSE87466	GSM2332201	case	B	0.391373	1.16823	43
GSE87466	GSM2332201	case	NK	0.073753	1.16823	43
GSE87466	GSM2332201	case	M/DC	0.354059	1.16823	43
GSE87466	GSM2332202	case	T	0.189327	1.21976	43
GSE87466	GSM2332202	case	B	0.259872	1.21976	43
GSE87466	GSM2332202	case	NK	0.1839	1.21976	43
GSE87466	GSM2332202	case	M/DC	0.366902	1.21976	43
GSE87466	GSM2332203	case	T	0.287613	1.07814	43
GSE87466	GSM2332203	case	B	0.329468	1.07814	43
GSE87466	GSM2332203	case	NK	0.0973794	1.07814	43
GSE87466	GSM2332203	case	M/DC	0.285539	1.07814	43
GSE87466	GSM2332204	case	T	0.388314	1.21891	43
GSE87466	GSM2332204	case	B	0.351702	1.21891	43
GSE87466	GSM2332204	case	NK	0.0242397	1.21891	43
GSE87466	GSM2332204	case	M/DC	0.235744	1.21891	43
GSE87466	GSM2332205	case	T	0.262553	1.07058	43
GSE87466	GSM2332205	case	B	0.245449	1.07058	43
GSE87466	GSM2332205	case	NK	0.102256	1.07058	43
GSE87466	GSM2332205	case	M/DC	0.389742	1.07058	43
