ingredient_id	ingredient_name	target_id	gene_symbol	protein_name	edge_source	evidence_level	target_source	reference_id	reference_url	pubmed_id	pubmed_url	reference_title	relationship	grade	supporting_sentence	in_bulk_uc_ibd_up150	in_bulk_uc_ibd_down150	candidate_priority_class	candidate_priority_score
HBIN041495	Quercetin	HBTAR000528	CAT	catalase	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005613	/Reference/detail/?v=HBREF005613	36274842	https://pubmed.ncbi.nlm.nih.gov/36274842/	Quercetin protects porcine oocytes from in vitro aging by reducing oxidative stress and maintaining the mitochondrial functions	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000359	CCND1	cyclin D1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005571	/Reference/detail/?v=HBREF005571	34656066	https://pubmed.ncbi.nlm.nih.gov/34656066/	Quercetin improves atrial fibrillation through inhibiting TGF-β/Smads pathway via promoting MiR-135b expression	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001251	EPHB4	EPH receptor B4	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005593	/Reference/detail/?v=HBREF005593	35470469	https://pubmed.ncbi.nlm.nih.gov/35470469/	Quercetin regulates vascular endothelium function in chronic renal failure via modulation of Eph/Cav-1 signaling	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR004228	TXN	thioredoxin	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005600	/Reference/detail/?v=HBREF005600	35959439	https://pubmed.ncbi.nlm.nih.gov/35959439/	Quercetin Alleviates Pulmonary Fibrosis in Mice Exposed to Silica by Inhibiting Macrophage Senescence		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001254	EPHX2	epoxide hydrolase 2	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005539	/Reference/detail/?v=HBREF005539	32911626	https://pubmed.ncbi.nlm.nih.gov/32911626/	The Antihypertensive Effect of Quercetin in Young Spontaneously Hypertensive Rats; Role of Arachidonic Acid Metabolism	suppress/inhibitor	Grade C	redacted_public_package	no	yes	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR003197	MAPK8	mitogen-activated protein kinase 8	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005559	/Reference/detail/?v=HBREF005559	34064664	https://pubmed.ncbi.nlm.nih.gov/34064664/	Rutin Modulates MAPK Pathway Differently from Quercetin in Angiotensin II-Induced H9c2 Cardiomyocyte Hypertrophy	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR003808	SLPI	secretory leukocyte peptidase inhibitor	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005566	/Reference/detail/?v=HBREF005566	34361114	https://pubmed.ncbi.nlm.nih.gov/34361114/	Quercetin Administration Suppresses the Cytokine Storm in Myeloid and Plasmacytoid Dendritic Cells		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR013038	MARVELD1	MARVEL domain containing 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005543	/Reference/detail/?v=HBREF005543	33050645	https://pubmed.ncbi.nlm.nih.gov/33050645/	Quercetin Intervention Alleviates Offspring's Oxidative Stress, Inflammation, and Tight Junction Damage in the Colon Induced by Maternal Fine Particulate Matter (PM2.5) Exposure through the Reduction of Bacteroides	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR013038	MARVELD1	MARVEL domain containing 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005570	/Reference/detail/?v=HBREF005570	34566654	https://pubmed.ncbi.nlm.nih.gov/34566654/	Beneficial Effects of Quercetin on Microcystin-LR Induced Tight Junction Defects	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR013038	MARVELD1	MARVEL domain containing 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005610	/Reference/detail/?v=HBREF005610	36232461	https://pubmed.ncbi.nlm.nih.gov/36232461/	Probing the Potential Mechanism of Quercetin and Kaempferol against Heat Stress-Induced Sertoli Cell Injury: Through Integrating Network Pharmacology and Experimental Validation	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR002508	MMP2	matrix metallopeptidase 2	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005600	/Reference/detail/?v=HBREF005600	35959439	https://pubmed.ncbi.nlm.nih.gov/35959439/	Quercetin Alleviates Pulmonary Fibrosis in Mice Exposed to Silica by Inhibiting Macrophage Senescence		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR011707	GPRC6A	G protein-coupled receptor class C group 6 member A	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005594	/Reference/detail/?v=HBREF005594	35547008	https://pubmed.ncbi.nlm.nih.gov/35547008/	Quercetin Attenuates Osteoporosis in Orchiectomy Mice by Regulating Glucose and Lipid Metabolism via the GPRC6A/AMPK/mTOR Signaling Pathway		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
