tissue_assignment	celltype	gene_symbol	n_diseased_samples	n_healthy_samples	diseased_cells	healthy_cells	mean_log1p_cpm_diseased	mean_log1p_cpm_healthy	delta_log1p_cpm_diseased_minus_healthy	p_log1p_cpm_mannwhitney	mean_detection_diseased	mean_detection_healthy	delta_detection_diseased_minus_healthy	p_detection_mannwhitney
R	B:B12	AHR	6	4	39	84	0	0.0600122	-0.0600122	0.0942099	0	0.0333917	-0.0333917	0.0942099
R	B:B12	AKT1	6	4	39	84	0.0440873	0.0310352	0.0130521	0.511966	0.0222222	0.0237762	-0.00155406	0.511966
R	B:B12	ARNTL	6	4	39	84	0	0.0110101	-0.0110101	0.307434	0	0.00961538	-0.00961538	0.307434
R	B:B12	BCL6	6	4	39	84	0.0767677	0	0.0767677	0.540291	0.0333333	0	0.0333333	0.540291
R	B:B12	BECN1	6	4	39	84	0.0636798	0.0590985	0.00458133	1	0.0319444	0.0424826	-0.0105382	0.904407
R	B:B12	BLNK	6	4	39	84	0.46031	0.243644	0.216666	0.732995	0.25873	0.165384	0.0933457	0.909464
R	B:B12	BRD4	6	4	39	84	0.0849033	0.129042	-0.0441389	0.718632	0.0349206	0.0804195	-0.0454989	0.548186
R	B:B12	CAT	6	4	39	84	0.10618	0.0574911	0.0486886	0.511966	0.047619	0.0277972	0.0198218	0.511966
R	B:B12	CD4	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	CD86	6	4	39	84	0.10618	0.0215556	0.0846241	1	0.047619	0.0192308	0.0283882	1
R	B:B12	CREB1	6	4	39	84	0.08427	0.0949265	-0.0106565	1	0.0319444	0.0611888	-0.0292443	0.548186
R	B:B12	CTNNB1	6	4	39	84	0.182261	0.0502872	0.131974	0.569646	0.079365	0.0379372	0.0414279	0.569646
R	B:B12	DNMT1	6	4	39	84	0.345448	0.0204897	0.324959	0.569646	0.212698	0.0141608	0.198538	0.569646
R	B:B12	FOXP3	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	GABPA	6	4	39	84	0.0767677	0.432397	-0.35563	0.149541	0.0333333	0.264161	-0.230827	0.149541
R	B:B12	HIF1A	6	4	39	84	0.227035	0.0413992	0.185635	0.336668	0.103175	0.0384615	0.064713	0.47117
R	B:B12	HMOX1	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	ICAM1	6	4	39	84	0.263068	0.0692626	0.193805	0.569646	0.132143	0.043007	0.0891359	0.732995
R	B:B12	IFNG	6	4	39	84	0.0234972	0	0.0234972	0.540291	0.0111111	0	0.0111111	0.540291
R	B:B12	IL15	6	4	39	84	0	0.0502872	-0.0502872	0.0942099	0	0.0379372	-0.0379372	0.0942099
R	B:B12	IL1B	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	IL7	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	ITGAM	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	ITGAX	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	JAK1	6	4	39	84	0.107714	0.383669	-0.275956	0.149541	0.0555555	0.316608	-0.261053	0.0546639
R	B:B12	LYZ	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	MAFB	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	MAP1LC3B	6	4	39	84	0.366427	0.298352	0.068075	0.912421	0.157341	0.188636	-0.0312951	1
R	B:B12	MAPK14	6	4	39	84	0	0.0574911	-0.0574911	0.0942099	0	0.0374126	-0.0374126	0.0942099
R	B:B12	NFKB1	6	4	39	84	0.120855	0.0781842	0.0426708	1	0.0555555	0.0424826	0.0130729	1
R	B:B12	NLRP3	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	OSM	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	PARP1	6	4	39	84	0.53882	0.443107	0.0957134	1	0.319643	0.456294	-0.136651	0.591778
R	B:B12	PIAS1	6	4	39	84	0.441809	0.32018	0.121629	1	0.255754	0.372902	-0.117148	0.591778
R	B:B12	PKM	6	4	39	84	0.294853	0.166738	0.128115	0.441361	0.133532	0.108217	0.0253149	0.912421
R	B:B12	PRKAA1	6	4	39	84	0.0636798	0.0600122	0.00366768	0.904407	0.0319444	0.0475524	-0.015608	0.718632
R	B:B12	PTGS2	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	RELA	6	4	39	84	0.08427	0.0316743	0.0525957	0.693974	0.0319444	0.0192308	0.0127137	0.895652
R	B:B12	SH3KBP1	6	4	39	84	0.0614062	0.0758407	-0.0144346	0.511966	0.0238095	0.0515735	-0.027764	0.511966
